"","Date","AAPL_Bloomberg","CLZ5 COMB Comdty","EURUSDV1M","SPX Index","USD Index","USDCNYV1M BGN Curncy","USDJPYV1M BGN Curncy","VIX Index"
"25","9/14/15",115.31,44.9,11.555,1953.03,95.246,5.4475,11.9,24.25
"26","9/11/15",114.21,45.8,11.2475,1961.05,95.194,5.76,11.385,23.2
"27","9/10/15",112.57,47.04,11.34,1952.29,95.456,6.0425,11.5,24.37
"28","9/9/15",110.15,45.48,11.5075,1942.04,96.012,6.11,11.375,26.23
"29","9/8/15",112.31,47.24,11.785,1969.41,95.985,6.165,11.53,24.9
"30","9/4/15",109.27,47.23,11.59,1921.22,96.229,6.165,11.65,27.8
"31","9/3/15",110.37,47.92,11.775,1951.13,96.405,6.02,10.5325,25.61
"32","9/2/15",112.34,47.52,12.075,1948.86,95.828,5.81,11.405,26.09
"33","9/1/15",107.72,46.69,12.565,1913.85,95.45,5.8725,11.8225,31.4
"34","8/31/15",112.76,50.77,12.335,1972.18,95.824,5.805,10.5875,28.43
"35","8/28/15",113.29,46.86,11.73,1988.87,96.106,6.19,10.075,26.05
"36","8/27/15",112.92,44.28,12.19,1987.66,95.61,7.06,10.455,26.1
"37","8/26/15",109.69,40.2,12.7225,1940.51,95.1,7.93,11.625,30.32
"38","8/25/15",103.74,40.64,12.0925,1867.61,94.53,7.8575,11.6,36.02
"39","8/24/15",103.12,39.65,12.2975,1893.21,93.332,7.105,13.185,40.74
"40","8/21/15",105.76,41.91,10.2725,1970.89,95.008,5.27,9.4675,28.03
"41","8/20/15",112.65,42.9,9.825,2035.73,95.98,5.025,7.3775,19.14
"42","8/19/15",115.01,43.01,9.455,2079.61,96.359,4.595,7.235,15.25
"43","8/18/15",116.5,44.91,9.735,2096.92,97.04,4.6575,7.1975,13.79
"44","8/17/15",117.16,44.47,9.6325,2102.44,96.806,5.22,7.14,13.02
"45","8/14/15",115.96,45.24,9.33,2091.54,96.52,5.53,7.285,12.83
"46","8/13/15",115.15,45.16,9.5875,2083.39,96.445,7.805,7.305,13.49
"47","8/12/15",115.24,45.94,10.245,2086.05,96.262,9.715,8.025,13.61
"48","8/11/15",113.49,45.68,10.175,2084.07,97.29,6.34,7.455,13.71
"49","8/10/15",119.72,47.32,9.745,2104.18,97.159,1.1625,6.995,12.23
"50","8/7/15",115.52,45.85,10.0775,2077.57,97.563,1.1725,7.13,13.39
"51","8/6/15",115.13,46.54,10.52,2083.56,97.833,1.1725,7.7875,13.77
"52","8/5/15",115.4,46.84,10.98,2099.84,97.958,1.205,8.02,12.51
"53","8/4/15",114.64,47.36,10.5525,2093.32,97.931,1.2825,7.3975,13
"54","8/3/15",118.44,46.87,10.67,2098.04,97.494,1.515,7.435,12.56
"55","7/31/15",121.3,48.92,9.985,2103.84,97.336,1.505,7.1825,12.12
"56","7/30/15",122.37,50.18,10.02,2108.63,97.56,1.265,7.1925,12.13
"57","7/29/15",122.99,50.32,9.825,2108.57,96.976,1.23,7.015,12.5
"58","7/28/15",123.38,49.71,10.3,2093.25,96.772,1.2425,7.4725,13.44
"59","7/27/15",122.77,49.21,10.6075,2067.64,96.502,1.245,7.505,15.6
"60","7/24/15",124.5,49.91,10.3775,2079.65,97.244,1.175,7.15,13.74
"61","7/23/15",125.16,50.24,10.345,2102.15,97.115,1.0225,7.015,12.64
"62","7/22/15",125.22,51.03,10.385,2114.15,97.598,1.0525,7.01,12.12
"63","7/21/15",130.75,52.57,9.97,2119.21,97.328,1.035,6.975,12.22
"64","7/20/15",132.07,52.09,9.9425,2128.28,98.029,1.11,7.25,12.25
"65","7/17/15",129.62,52.7,9.745,2126.64,97.862,1.05,7.175,11.95
"66","7/16/15",128.51,52.74,10.67,2124.29,97.668,1.105,7.71,12.11
"67","7/15/15",126.82,53.27,11.1475,2107.4,97.166,1.075,7.67,13.23
"68","7/14/15",125.61,54.98,11.6625,2108.95,96.643,1.155,8.06,13.37
"69","7/13/15",125.66,54.27,11.76,2099.6,96.858,1.225,8.295,13.9
"70","7/10/15",123.28,54.68,12.055,2076.62,96.025,1.2225,8.36,16.83
"71","7/9/15",120.07,54.6,12.98,2051.31,96.606,1.24,9.28,19.97
"72","7/8/15",122.57,53.46,13.41,2046.68,96.294,1.3525,9.915,19.66
"73","7/7/15",125.69,53.9,13.14,2081.34,96.865,1.35,8.5575,16.09
"74","7/6/15",126,54,12.7175,2068.76,96.298,1.105,8,17.01
"75","7/2/15",126.44,58.45,12.05,2076.78,96.113,1.07,7.67,16.79
"76","7/1/15",126.6,58.55,12.795,2077.42,96.31,1.085,8.23,16.09
"77","6/30/15",125.425,60.78,13.4875,2063.11,95.485,1.1,8.905,18.23
"78","6/29/15",124.53,59.68,13.455,2057.64,94.79,1.095,8.69,18.85
"79","6/26/15",126.75,60.94,11.7825,2101.49,95.472,1.08,7.6375,14.02
"80","6/25/15",127.5,60.91,11.2775,2102.31,95.187,1.0275,7.3275,14.01
"81","6/24/15",128.11,61.54,11.415,2108.58,95.264,1.035,7.6275,13.26
"82","6/23/15",127.03,62.31,11.9775,2124.2,95.432,1.045,7.69,12.11
"83","6/22/15",127.61,61.85,11.9475,2122.85,94.329,1.03,7.4425,12.74
"84","6/19/15",126.6,61.34,12.51,2109.99,94.085,1.035,7.91,13.96
"85","6/18/15",127.88,62.14,11.6625,2121.24,94.042,1.02,7.7375,13.19
"86","6/17/15",127.3,61.71,12.0725,2100.44,94.296,1.025,7.915,14.5
"87","6/16/15",127.6,61.67,13.44,2096.29,94.999,1.0025,8.6325,14.81
"88","6/15/15",126.92,61.15,14.05,2084.43,94.81,1.0525,9.005,15.39
"89","6/12/15",127.17,61.44,13.6875,2094.11,94.972,1.055,8.6525,13.78
"90","6/11/15",128.59,62.33,13.24,2108.86,94.976,1.08,8.6525,12.85
"91","6/10/15",128.88,62.83,13.9025,2105.2,94.646,1.0775,9.265,13.22
"92","6/9/15",127.42,61.79,13.5975,2080.15,95.166,1.1075,9.0325,14.47
"93","6/8/15",127.8,59.93,13.355,2079.28,95.299,1.0925,8.675,15.29
"94","6/5/15",128.65,60.86,13.0325,2092.83,96.306,1.0875,8.5775,14.21
"95","6/4/15",129.36,59.53,12.855,2095.84,95.461,1.0875,8.9,14.71
"96","6/3/15",130.12,60.93,12.895,2114.07,95.465,1.055,9.3175,13.66
"97","6/2/15",129.96,62.25,13.0025,2109.6,95.835,1.0525,9.31,14.24
"98","6/1/15",130.535,61.18,12.6725,2111.73,97.392,1.0925,9.005,13.97
"99","5/29/15",130.28,61.51,11.8325,2107.39,96.907,1.085,8.8325,13.84
"100","5/28/15",131.78,59,12.1275,2120.79,96.965,1.085,9.475,13.31
"101","5/27/15",132.045,58.87,12.6875,2123.48,97.371,1.1075,9.765,13.27
"102","5/26/15",129.62,59.73,13.28,2104.2,97.299,1.1775,9.37,14.06
"103","5/22/15",132.54,61.3,12.5675,2126.06,96.014,1.1775,7.6575,12.13
"104","5/21/15",131.39,62.21,11.9775,2130.82,95.255,1.1775,7.6375,12.11
"105","5/20/15",130.06,60.8,12.7875,2125.85,95.448,1.2225,8.2475,12.88
"106","5/19/15",130.07,59.91,12.995,2127.83,95.267,1.2075,7.8875,12.85
"107","5/18/15",130.19,61.86,11.785,2129.2,94.221,1.235,7.175,12.73
"108","5/15/15",128.77,62.43,10.925,2122.73,93.135,1.205,6.765,12.38
"109","5/14/15",128.95,62.84,11.0225,2121.1,93.457,1.205,6.72,12.74
"110","5/13/15",126.01,63.31,10.705,2098.48,93.617,1.2075,6.7525,13.76
"111","5/12/15",125.865,63.58,11.25,2099.12,94.534,1.2275,7.375,13.86
"112","5/11/15",126.32,62.28,11.44,2105.33,95.011,1.2675,7.595,13.85
"113","5/8/15",127.62,62.23,11.295,2116.1,94.794,1.3075,7.7875,12.86
"114","5/7/15",125.26,61.9,12.825,2088,94.635,1.3075,8.3775,15.13
"115","5/6/15",125.01,64.01,12.765,2080.15,94.087,1.3075,8.14,15.15
"116","5/5/15",125.8,63.75,12.555,2089.46,95.076,1.305,8.37,14.31
"117","5/4/15",128.7,62.78,12.91,2114.49,95.48,1.33,8.6075,12.85
"118","5/1/15",128.95,62.94,12.65,2108.29,95.297,1.3275,8.395,12.7
"119","4/30/15",125.15,63.07,12.025,2085.51,94.6,1.33,8.01,14.55
"120","4/29/15",128.64,62.44,11.09,2106.85,95.209,1.305,8.03,13.39
"121","4/28/15",130.56,61.52,11.165,2114.76,96.092,1.3,7.9575,12.41
"122","4/27/15",132.65,61.77,11.935,2108.92,96.765,1.295,8.485,13.12
"123","4/24/15",130.28,62.03,11.91,2117.69,96.922,1.25,8.305,12.29
"124","4/23/15",129.67,62.04,11.9125,2112.93,97.278,1.25,8.3125,12.48
"125","4/22/15",128.62,60.65,12.385,2107.96,97.932,1.295,8.51,12.71
"126","4/21/15",126.91,60.5,12.505,2097.29,98.004,1.31,8.46,13.25
"127","4/20/15",127.6,61.49,12.39,2100.4,97.941,1.3075,8.2825,13.3
"128","4/17/15",124.75,60.71,11.97,2081.18,97.52,1.27,8.0775,13.89
"129","4/16/15",126.17,61.41,12.06,2104.99,97.415,1.205,8.005,12.6
"130","4/15/15",126.78,60.9,11.69,2106.63,98.319,1.2425,8.19,12.84
"131","4/14/15",126.3,58.55,11.78,2095.84,98.733,1.45,8.41,13.67
"132","4/13/15",126.85,57.8,12.1,2092.43,99.49,1.585,8.525,13.94
"133","4/10/15",127.1,57.62,11.58,2102.06,99.338,1.58,8.08,12.58
"134","4/9/15",126.56,56.72,11.095,2091.18,99.155,1.585,8.125,13.09
"135","4/8/15",125.6,55.8,10.685,2081.9,97.94,1.56,7.97,13.98
"136","4/7/15",126.01,58.54,11.255,2076.33,97.83,1.56,8.4525,14.78
"137","4/6/15",127.35,57.75,10.915,2080.62,96.777,1.595,8.0075,14.74
"138","4/2/15",125.32,55.4,12.185,2066.96,97.436,1.575,9.2075,14.67
"139","4/1/15",124.25,56.74,12.245,2059.69,98.185,1.645,9.405,15.11
"140","3/31/15",124.43,54.87,12.8175,2067.89,98.357,1.805,9.5,15.29
"141","3/30/15",126.37,55.79,12.845,2086.24,97.975,1.815,9.01,14.51
"142","3/27/15",123.25,55.61,12.065,2061.02,97.291,1.89,8.5675,15.07
"143","3/26/15",124.24,57.7,11.86,2056.15,97.436,1.97,8.555,15.8
"144","3/25/15",123.38,55.74,11.5125,2061.05,96.979,2.09,8.25,15.44
"145","3/24/15",126.69,54.54,12.2725,2091.5,97.193,2.125,8.595,13.62
"146","3/23/15",127.21,54.88,12.9875,2104.42,97.033,2.1325,8.6025,13.41
"147","3/20/15",125.9,54.44,12.19,2108.1,97.909,2.17,8.32,13.02
"148","3/19/15",127.495,53.35,12.5,2089.27,99.26,2.165,8.7875,14.07
"149","3/18/15",128.47,54.85,12.17,2099.5,98.55,2.235,8.9,13.97
"150","3/17/15",127.04,52.77,12.685,2074.28,99.585,2.285,9.0175,15.66
"151","3/16/15",124.95,53.84,12.8575,2081.19,99.604,2.3525,9.18,15.61
"152","3/13/15",123.59,54.77,13.125,2053.4,100.33,2.515,9.345,16
"153","3/12/15",124.45,56.52,12.27,2065.95,99.435,2.35,9.4675,15.42
"154","3/11/15",122.24,56.91,12.93,2040.24,99.795,2.3125,9.785,16.87
"155","3/10/15",124.51,56.48,11.4275,2044.16,98.618,2.245,9.7875,16.69
"156","3/9/15",127.14,57.94,10.055,2079.43,97.588,2.245,9.2375,15.06
"157","3/6/15",126.6,58.34,9.9475,2071.26,97.615,2.185,9.06,15.2
"158","3/5/15",126.41,59.07,9.77,2101.04,96.378,2.425,9.035,14.04
"159","3/4/15",128.54,59.64,10.17,2098.53,95.965,2.535,8.5475,14.23
"160","3/3/15",129.36,60.01,9.475,2107.78,95.383,2.75,8.425,13.86
"161","3/2/15",129.09,58.83,9.5275,2117.39,95.462,2.735,8.93,13.04
"162","2/27/15",128.46,59.99,9.285,2104.5,95.293,2.62,8.7,13.34
"163","2/26/15",130.415,58.31,9.12,2110.74,95.292,2.41,8.51,13.91
"164","2/25/15",128.79,60.1,8.43,2113.86,94.213,2.51,8.27,13.84
"165","2/24/15",132.17,58.3,9.675,2115.48,94.493,2.565,9.4425,13.69
"166","2/23/15",133,58.57,10.335,2109.66,94.569,2.76,9.565,14.56
"167","2/20/15",129.495,58.82,11.295,2110.3,94.253,2.875,10.19,14.3
"168","2/19/15",128.45,58.98,11.09,2097.45,94.404,2.89,9.8825,15.29
"169","2/18/15",128.715,59.93,10.78,2099.68,94.198,2.955,9.86,15.45
"170","2/17/15",127.83,61.43,10.975,2100.34,94.061,2.86,10.235,15.8
"171","2/13/15",127.08,61.26,10.925,2096.99,94.201,2.58,10.73,14.69
"172","2/12/15",126.46,60.47,11.7175,2088.48,94.094,2.675,11.255,15.34
"173","2/11/15",124.88,58.4,12.245,2068.53,94.985,2.545,11.41,16.96
"174","2/10/15",122.02,59.13,12.495,2068.59,94.758,2.83,10.7925,17.23
"175","2/9/15",119.72,60.96,12.62,2046.74,94.449,2.98,10.5275,18.55
"176","2/6/15",118.93,60.11,12.1275,2055.47,94.698,2.845,10.285,17.29
"177","2/5/15",119.94,59.25,12.08,2062.52,93.569,2.955,9.6325,16.85
"178","2/4/15",119.56,57.78,11.3825,2041.51,93.986,3.145,10.045,18.33
"179","2/3/15",118.65,61.28,11.04,2050.03,93.6,3.34,10.6,17.33
"180","2/2/15",118.63,58.16,11.4025,2020.85,94.504,3.53,11.13,19.43
"181","1/30/15",117.16,56.79,11.6875,1994.99,94.804,2.955,11.305,20.97
"182","1/29/15",118.9,53.51,11.67,2021.25,94.782,2.9075,10.835,18.76
"183","1/28/15",115.31,53.33,12.1525,2002.16,94.467,2.4775,10.6625,20.44
"184","1/27/15",109.14,54.29,12.505,2029.55,94.022,2.3975,10.8975,17.22
"185","1/26/15",113.1,53.32,12.6,2057.09,94.802,2.935,11.1125,15.52
"186","1/23/15",112.98,53.38,12.8,2051.82,94.762,2.19,11.165,16.66
"187","1/22/15",112.4,53.41,11.63,2063.15,94.077,1.8075,10.81,16.4
"188","1/21/15",109.55,53.99,12.72,2032.12,92.904,1.79,11.2,18.85
"189","1/20/15",108.72,52.89,12.49,2022.55,93.046,1.83,12.355,19.89
"190","1/16/15",105.99,55.12,13.135,2019.42,92.52,1.92,12.6125,20.95
"191","1/15/15",106.82,53.27,12.8075,1992.67,92.352,1.615,12.4175,22.39
"192","1/14/15",109.8,55.12,10.13,2011.27,92.161,1.5975,11.0875,21.48
"193","1/13/15",110.22,53.49,9.92,2023.03,92.31,1.83,10.6625,20.56
"194","1/12/15",109.25,53.65,9.63,2028.26,91.983,1.855,10.065,19.6
"195","1/9/15",112.01,55.38,9.4975,2044.81,91.935,1.875,9.9375,17.55
"196","1/8/15",111.89,55.3,10.0325,2062.14,92.368,1.915,10.74,17.01
"197","1/7/15",107.75,55.15,10.21,2025.9,91.89,1.86,11.2575,19.31
"198","1/6/15",106.26,55.01,9.74,2002.61,91.499,1.825,11.56,21.12
"199","1/5/15",106.25,57.07,9.805,2020.58,91.378,2.055,11.2775,19.92
"200","1/2/15",109.33,59.05,9.5975,2058.2,91.08,2.0925,11.3425,17.79
"201","12/31/14",110.38,59.45,9.545,2058.9,90.269,2.5675,11.2175,19.2
"202","12/30/14",112.52,59.66,9.8575,2080.35,89.991,2.6475,11.19,15.92
"203","12/29/14",113.91,59.19,9.4825,2090.57,90.19,2.6775,11.0925,15.06
"204","12/26/14",113.99,60.01,9.335,2088.77,90.03,2.685,10.7675,14.5
"205","12/24/14",112.01,60.78,9.3475,2081.88,89.967,2.745,10.4875,14.37
"206","12/23/14",112.54,61.46,9.46,2082.17,90.064,2.77,10.67,14.8
"207","12/22/14",112.94,59.74,9.35,2078.54,89.77,2.8025,10.7075,15.25
"208","12/19/14",111.78,60.83,8.235,2070.65,89.598,2.8275,10.6325,16.49
"209","12/18/14",112.65,58.1,8.8875,2061.23,89.235,2.9225,10.815,16.81
"210","12/17/14",109.41,60.04,8.5225,2012.89,89.133,2.7275,11.46,19.44
"211","12/16/14",106.745,59.56,8.4075,1972.74,88.125,2.78,12.355,23.57
"212","12/15/14",108.225,60.17,8.4225,1989.63,88.46,2.7275,10.9925,20.42
"213","12/12/14",109.73,61.46,8.39,2002.33,88.363,2.7775,11.6925,21.08
"214","12/11/14",111.62,63.37,8.51,2035.33,88.663,2.79,11.9325,20.08
"215","12/10/14",111.95,63.82,8.22,2026.14,88.271,2.875,12.355,18.53
"216","12/9/14",114.12,66.05,8.0475,2059.82,88.69,2.8775,12.0775,14.89
"217","12/8/14",112.4,65.49,7.73,2060.31,89.041,2.515,11.425,14.21
"218","12/5/14",115,67.98,7.55,2075.37,89.334,2.3675,10.65,11.82
"219","12/4/14",115.49,68.75,7.64,2071.92,88.704,2.4575,10.425,12.38
"220","12/3/14",115.93,69.27,8.965,2074.33,88.956,2.57,11.285,12.47
"221","12/2/14",114.63,69.04,8.8525,2066.55,88.647,2.5375,10.24,12.85
"222","12/1/14",115.07,70.7,8.4075,2053.44,87.946,2.5325,10.1775,14.29
"223","11/28/14",118.93,68.22,8.22,2067.56,88.356,2.465,9.715,13.33
"224","11/26/14",119,74.59,8.23,2072.83,87.607,2.2125,9.945,12.07
"225","11/25/14",117.6,74.95,8.2875,2067.03,87.92,2.33,10.3475,12.25
"226","11/24/14",118.625,76.33,8.835,2069.41,88.151,2.065,10.885,12.62
"227","11/21/14",116.47,76.89,8.5475,2063.5,88.31,1.9325,10.81,12.9
"228","11/20/14",116.31,75.86,7.99,2052.75,87.591,2.08,11.725,13.58
"229","11/19/14",114.67,75.01,8.07,2048.72,87.647,2,11.685,13.96
"230","11/18/14",115.47,75.55,8.2475,2051.8,87.575,2,11.63,13.86
"231","11/17/14",113.99,76.31,8.0525,2041.32,87.926,2.01,11.595,13.99
"232","11/14/14",114.18,76.3,7.9475,2039.82,87.525,2.0075,11.3825,13.31
"233","11/13/14",112.82,75.01,7.5775,2039.33,87.674,2.005,10.645,13.79
"234","11/12/14",111.25,77.95,7.91,2038.25,87.822,2.0075,10.97,13.02
"235","11/11/14",109.7,78.72,7.7325,2039.68,87.531,2.01,10.2725,12.92
"236","11/10/14",108.83,78.56,7.65,2038.26,87.81,1.9825,8.9525,12.67
"237","11/7/14",109.01,79.3,7.805,2031.92,87.642,2.0975,9.6425,13.12
"238","11/6/14",108.7,78.61,8.595,2031.21,88.012,1.8825,10.9425,13.67
"239","11/5/14",108.86,78.79,8.7525,2023.57,87.444,1.735,10.3775,14.17
"240","11/4/14",108.6,78.31,8.27,2012.1,86.984,1.735,10.0925,14.89
"241","11/3/14",109.4,79.48,7.905,2017.81,87.309,1.7325,10.6425,14.73
"242","10/31/14",108,80.27,7.3275,2018.05,86.917,1.6675,9.5975,14.03
"243","10/30/14",106.98,80.41,6.6175,1994.65,86.147,1.75,7.7975,14.52
"244","10/29/14",107.34,81.09,6.4825,1982.3,85.952,1.7825,7.435,15.15
"245","10/28/14",106.74,80.51,6.615,1985.05,85.408,1.8175,7.78,14.39
"246","10/27/14",105.11,80.04,7.0325,1961.63,85.495,1.8675,8.17,16.04
"247","10/24/14",105.22,80.33,7.1775,1964.58,85.732,1.915,8.12,16.11
"248","10/23/14",104.83,80.39,7.29,1950.82,85.843,1.95,8.0375,16.53
"249","10/22/14",102.99,78.89,7.665,1927.11,85.741,1.95,7.915,17.87
"250","10/21/14",102.47,79.54,7.755,1941.28,85.303,1.95,8.0875,16.08
"251","10/20/14",99.76,79.39,7.565,1904.01,84.953,2.0425,8.47,18.57
"252","10/17/14",97.67,79.99,7.71,1886.76,85.11,1.95,8.38,21.99
"253","10/16/14",96.26,79.86,7.93,1862.76,84.955,1.9325,8.9225,25.2
"254","10/15/14",97.54,79.17,7.755,1862.49,85.147,1.92,9.2075,26.25
"255","10/14/14",98.75,80.26,6.9825,1877.7,85.822,1.935,8.125,22.79
"256","10/13/14",99.81,83.69,6.9775,1874.74,85.532,1.935,8.1975,24.64
"257","10/10/14",100.73,83.61,7.2525,1906.13,85.912,1.9325,7.82,21.24
"258","10/9/14",101.02,83.64,7,1928.21,85.522,1.935,7.6625,18.76
"259","10/8/14",100.8,84.67,7.015,1968.89,85.297,1.9325,7.8425,15.11
"260","10/7/14",98.75,85.2,7.49,1935.1,85.672,1.935,8.25,17.2
"261","10/6/14",99.62,85.74,7.1025,1964.82,85.928,1.95,8.075,15.46
"262","10/3/14",99.62,84.97,6.85,1967.9,86.694,1.935,7.82,14.55
"263","10/2/14",99.9,86.25,6.3625,1946.17,85.601,1.9025,8.85,16.16
"264","10/1/14",99.18,86.73,7.045,1946.16,85.972,1.9,8.565,16.71
"265","9/30/14",100.75,87.06,6.9775,1972.29,85.936,1.9,8.295,16.31
"266","9/29/14",100.11,89.3,6.9075,1977.8,85.591,1.915,8.365,15.98
"267","9/26/14",100.75,89.35,6.88,1982.85,85.64,1.685,7.8075,14.85
"268","9/25/14",97.87,89.31,6.83,1965.99,85.195,1.635,7.705,15.64
"269","9/24/14",101.75,89.51,6.505,1998.3,85.037,1.685,7.5325,13.27
"270","9/23/14",102.64,89.3,6.3375,1982.77,84.658,1.7,7.715,14.93
"271","9/22/14",101.06,89.16,6.325,1994.29,84.752,1.6075,7.565,13.69
"272","9/19/14",100.96,89.67,6.29,2010.4,84.735,1.665,7.48,12.11
"273","9/18/14",101.79,89.64,6.47,2011.36,84.323,1.7,7.4775,12.03
"274","9/17/14",101.58,90.4,6.855,2001.57,84.345,1.7,7.5875,12.65
"275","9/16/14",100.86,90.85,7.3125,1998.98,84.074,1.75,7.9275,12.73
"276","9/15/14",101.63,89.83,7.49,1984.13,84.264,1.735,8.1075,14.12
"277","9/12/14",101.66,89.56,7.1775,1985.54,84.24,1.6875,7.9775,13.31
"278","9/11/14",101.43,89.68,7.1775,1997.45,84.298,1.735,7.96,12.8
"279","9/10/14",101,89.38,7.615,1995.69,84.283,1.65,8.255,12.88
"280","9/9/14",97.99,90.01,7.455,1988.44,84.278,1.55,7.9375,13.5
"281","9/8/14",98.36,90.24,6.615,2001.54,84.232,1.5,6.71,12.66
"282","9/5/14",98.97,90.63,6.2375,2007.71,83.739,1.55,6.32,12.09
"283","9/4/14",98.12,90.93,6.4975,1997.65,83.82,1.55,6.4175,12.64
"284","9/3/14",98.94,91.66,6.1425,2000.72,82.865,1.5425,6.375,12.36
"285","9/2/14",103.3,90.1,6.3575,2002.28,82.992,1.5,6.5575,12.25
"286","8/29/14",102.5,91.62,5.4825,2003.37,82.748,1.5375,5.7525,11.98
"287","8/28/14",102.25,91.16,5.715,1996.74,82.477,1.5,5.9725,12.05
"288","8/27/14",102.13,91.3,5.8575,2000.12,82.428,1.5,5.905,11.78
"289","8/26/14",100.889,91.47,5.625,2000.02,82.65,1.5375,6.005,11.63
"290","8/25/14",101.54,91.13,5.5325,1997.92,82.549,1.6425,6.11,11.7
"291","8/22/14",101.32,91.06,4.925,1988.4,82.336,1.6,5.8075,11.47
"292","8/21/14",100.58,90.68,5.155,1992.37,82.154,1.58,5.9375,11.76
"293","8/20/14",100.57,90.55,5.2325,1986.51,82.226,1.55,5.9725,11.78
"294","8/19/14",100.53,90.53,5.085,1981.6,81.883,1.55,5.595,12.21
"295","8/18/14",99.16,90.72,4.9325,1971.74,81.576,1.4525,5.645,12.32
"296","8/15/14",97.98,91.61,4.7,1955.06,81.424,1.5425,5.5775,13.15
"297","8/14/14",97.5,90.99,4.545,1955.18,81.588,1.5375,5.335,12.42
"298","8/13/14",97.24,92.81,4.755,1946.72,81.596,1.5425,5.455,12.9
"299","8/12/14",95.97,92.3,4.7875,1933.75,81.5,1.4875,5.3025,14.13
"300","8/11/14",95.99,92.64,4.77,1936.92,81.466,1.55,5.335,14.23
"301","8/8/14",94.74,92.46,4.7625,1931.59,81.389,1.5375,5.775,15.77
"302","8/7/14",94.48,92.63,4.6025,1909.57,81.524,1.45,5.3075,16.66
"303","8/6/14",94.96,92.15,4.52,1920.24,81.444,1.415,4.9825,16.37
"304","8/5/14",95.12,91.99,4.4825,1920.21,81.328,1.45,4.6125,16.87
"305","8/4/14",95.59,92.11,4.325,1938.99,81.328,1.475,4.55,15.12
"306","8/1/14",96.13,91.63,4.165,1925.15,81.302,1.455,4.7625,17.03
"307","7/31/14",95.6,91.81,4.605,1930.67,81.456,1.455,5.7,16.95
"308","7/30/14",98.15,92.47,4.92,1970.07,81.432,1.44,5.8825,13.33
"309","7/29/14",98.38,92.77,4.6625,1969.95,81.214,1.44,5.1475,13.28
"310","7/28/14",99.02,93.04,4.53,1978.91,81.025,1.44,4.795,12.56
"311","7/25/14",97.671,93.93,4.4525,1978.34,81.029,1.4,4.85,12.69
"312","7/24/14",97.03,93.56,4.62,1987.98,80.872,1.445,4.76,11.84
"313","7/23/14",97.19,94.03,4.71,1987.01,80.823,1.445,4.5825,11.52
"314","7/22/14",94.72,93.53,4.905,1983.53,80.781,1.45,4.52,12.24
"315","7/21/14",93.939,93.76,4.61,1973.63,80.56,1.57,4.5375,12.81
"316","7/18/14",94.43,92.63,4.47,1978.22,80.524,1.59,4.58,12.06
"317","7/17/14",93.0899,93.06,4.56,1958.12,80.505,1.6,4.78,14.54
"318","7/16/14",94.78,93.27,4.695,1981.57,80.559,1.65,4.45,11
"319","7/15/14",95.32,93.33,4.45,1973.28,80.39,1.68,4.595,11.96
"320","7/14/14",96.45,94.16,4.3825,1977.1,80.188,1.65,4.7825,11.82
"321","7/11/14",95.22,93.49,4.4475,1967.57,80.187,1.64,4.92,12.08
